Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43268,,Spot Purchased Day Care For Adults (Appleton Lodge),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Appleton Lodge),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,7896 ,Estimated,,GSE RESIDENTIAL LIMITED,05167623,,70181 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43269,,Spot Purchased Day Care For Adults (Argyll House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Argyll House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,K T HEALTH LIMITED,gb/05752450,,123790 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43270,,Spot Purchased Day Care For Adults (Ashfields House (formerly Rose Day Centre)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Ashfields House (formerly Rose Day Centre)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,18774 ,Estimated,,BARCHESTER HEALTHCARE  (ASHFIELDS),,,66256 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43271,,Spot Purchased Day Care For Adults (Ashville House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Ashville House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,F J J HEALTH CARE LIMITED,03723176,,68982 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43272,,Spot Purchased Day Care For Adults (Aspires),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Aspires),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,339293 ,Estimated,,ASPIRES LIMITED,gb/03207585,,115804 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43273,,Spot Purchased Day Care For Adults (Assist Trust),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Assist Trust),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,1813320 ,Estimated,,ASSIST TRUST,03206320,,75365 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43274,,Spot Purchased Day Care For Adults (Attleborough Day Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Attleborough Day Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,143425 ,Estimated,,ATTLEBOROUGH DAY CARE CENTRE,,,66313 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43275,,Spot Purchased Day Care For Adults (Autism Anglia),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Autism Anglia),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,52909 ,Estimated,,AUTISM ANGLIA,gb/03407778,,159584 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43276,,Spot Purchased Day Care For Adults (Avery Lodge),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Avery Lodge),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MR & MRS K M HODGINS T/A AVERY LODGE,,,145568 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43277,,Spot Purchased Day Care For Adults (Aylsham Care Trust),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Aylsham Care Trust),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,AYLSHAM & DISTRICT CARE TRUST,,,79476 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43278,,Spot Purchased Day Care For Adults (Aylsham Manor),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Aylsham Manor),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,3496 ,Estimated,,MR & MRS C DENIS T/A THE AYLSHAM MANOR,,,75369 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43279,,Spot Purchased Day Care For Adults (Barrington Farm),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Barrington Farm),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,219237 ,Estimated,,INCATERN LIMITED,gb/02165763,,70063 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43280,,Spot Purchased Day Care For Adults (Bay Tree House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Bay Tree House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MR T P HANLEY AND MRS S E HANLEY T/A BAY TREE HOUSE,,,66568 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43281,,Spot Purchased Day Care For Adults (Beyond The Wall),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Beyond The Wall),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,21271 ,Estimated,,THORNHAM FIELD CENTRE,,,75610 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43282,,Spot Purchased Day Care For Adults (Bilney Hall ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Bilney Hall ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,HEALTH CARE HOMES GROUP LIMITED,04516799,,71702 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43283,,Spot Purchased Day Care For Adults (Bowthorpe Community Trust ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Bowthorpe Community Trust ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,134754 ,Estimated,,BOWTHORPE COMMUNITY TRUST,,,66745 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43284,,Spot Purchased Day Care For Adults (Brackendale House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Brackendale House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,PRIME LIFE LIMITED,gb/02779611,,80024 ,,,,PART B SERVICES,,,Other,,,,,
