category,date_calculated,sum,YYYY,exmonth
Architectural engineering,2011-04-01,555699.01,2011,4
Architectural engineering,2011-01-01,789698.53,2011,1
Architectural engineering,2012-06-01,1107.3,2012,6
Architectural engineering,2012-12-01,510,2012,12
Architectural engineering,2011-05-01,359020.75,2011,5
Architectural engineering,2014-11-01,707139.11,2014,11
Architectural engineering,2013-08-01,3,2013,8
Architectural engineering,2011-10-01,491728.87,2011,10
Architectural engineering,2012-10-01,3687.99,2012,10
Architectural engineering,2012-05-01,2796,2012,5
Architectural engineering,2012-01-01,789931.14,2012,1
Architectural engineering,2012-08-01,1559.2,2012,8
Architectural engineering,2011-02-01,303591.23,2011,2
Architectural engineering,2011-12-01,448986.03,2011,12
Assisted living services,2013-01-01,1498461.5,2013,1
Assisted living services,2014-10-01,2953860.48000002,2014,10
Assisted living services,2012-11-01,2652475.21999999,2012,11
Assisted living services,2012-07-01,1413836.37,2012,7
Assisted living services,2011-11-01,1409024.89,2011,11
